Parameter,Gross Scope 1 GHG emissions from stationary combustion,Gross Scope 1 GHG emissions from other sources,Gross Scope 2 GHG emissions from imported electricity,Gross Scope 2 GHG emissions from imported thermal energy,Total,Third-party verified carbon offsets purchased,Institution-catalyzed carbon offsets generated,Carbon storage from on-site composting,Carbon storage from non-additional sequestration,Carbon sold or transferred,Net carbon sinks,Adjusted net GHG emissions,Start date,End date,Number of students resident on-site,Number of employees resident on-site,Number of other individuals resident on-site,Total full-time equivalent student enrollment,Full-time equivalent of employees,Full-time equivalent of students enrolled exclusively in distance education,Weighted Campus Users
Cornell PY,183930,5980,30506,0,220416,41185,0,0,0,0,41185,179231,"July 1, 2020","June 30, 2021",2434,71,73,11982.5,15652,0,21425.13
Cornell BY,215761,6498,50970,0,273229,0,0,0,0,0,0,273229,"July 1, 2014","June 30, 2015",5677,0,0,12336,13767,0,20996.50
Princeton PY,64155,897,37746,0,102798,0,0,0,0,0,31.04,102766.96,"July 1, 2019","June 30, 2020",6767,332,483,8441,6897,0,13761.25
Princeton BY,78893,965,42034,0,121892,0,0,0,0,0,0,121892,"July 1, 2005","June 30, 2006",6111,474,0,6935,5400,0,10897.50
Penn PY,1620.70,1593.30,96268.40,90020,189502.40,33369,0,0,0,0,33369,156133.40,"July 1, 2019","June 30, 2020",4386,259,0,23770,18367,378,32480.50
Penn BY,1621,1897,171912,89950,265380,80733,0,0,0,0,80733,184647,"July 1, 2008","June 30, 2009",6310,244,0,21454,14415,0,28540.25
Yale PY,183930,5980,30506,0,220416,41185,0,0,0,0,41185,179231,"July 1, 2020","June 30, 2021",2434,71,73,11982.5,15652,0,21425.13
Yale BY,215761,6498,50970,0,273229,0,0,0,0,0,0,273229,"July 1, 2014","June 30, 2015",5677,0,0,12336,13767,0,20996.50
Columbia PY,65134,0,26485,0,91619,0,0,0,0,0,0,0,"January 1, 2017","January 1, 2006",11341,1559,0,23716,11756,287,29613.75
Columbia BY,85592,0,50705,0,136297,0,0,0,0,0,0,0,"December 31, 2017","December 1, 2006",10510,1450,0,19331,18379,793,30677.75
